City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
224,Alta Floresta,BR,82.4,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
227,Cabo San Lucas,MX,73.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
235,Dingle,PH,74.98,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
236,Arraial Do Cabo,BR,77.0,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
237,Lorengau,PG,81.55,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
243,Mahajanga,MG,82.4,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
245,Bambanglipuro,ID,77.72,overcast clouds,-7.95,110.2833,Puri Brata
249,Metro,ID,75.34,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
251,Anloga,GH,89.6,few clouds,5.7947,0.8973,Pin Drop Hotel
252,Praia,CV,73.4,broken clouds,14.9215,-23.5087,LT Aparthotel
255,Jacareacanga,BR,78.98,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
256,Sao Jose Da Coroa Grande,BR,85.21,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
258,Espirito Santo Do Pinhal,BR,77.0,broken clouds,-22.1158,-46.6828,Pousada Pico Do Gaviao
260,Garowe,SO,73.71,clear sky,8.4054,48.4845,Curubo Hotel
261,Puerto Escondido,MX,84.2,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
263,Iquitos,PE,84.2,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
266,Ancud,CL,77.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
270,Iquique,CL,77.0,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
272,Hobyo,SO,77.99,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
273,Hualmay,PE,74.79,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
274,Acaponeta,MX,79.79,scattered clouds,22.4964,-105.3594,Hotel Casa Blanca
277,Souillac,MU,78.8,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
279,Kabompo,ZM,72.91,broken clouds,-13.5927,24.2008,Big Tree
286,Weligama,LK,76.89,overcast clouds,5.9667,80.4167,Weligama Bay Resort
289,Moerai,PF,80.6,light rain,-22.4333,-151.3333,Le Manotel
290,Tefe,BR,84.2,broken clouds,-3.3542,-64.7114,Aracati Hotel
292,Makokou,GA,79.39,light rain,0.5738,12.8642,WAMY RESIDENCE HOTEL
295,Santa Maria,BR,75.2,few clouds,-29.6842,-53.8069,Hotel Morotin
298,General Roca,AR,77.0,clear sky,-39.0333,-67.5833,Hotel El Recreo
300,Ambon,ID,78.8,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
301,Nouadhibou,MR,71.6,clear sky,20.930999999999997,-17.0347,El Medina
303,Castro,BR,76.26,clear sky,-24.7911,-50.0119,CHACARA BAILLY
315,Bilma,NE,73.09,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
317,Alofi,NU,77.0,overcast clouds,-19.0595,-169.9187,Taloa Heights
318,Hervey Bay,AU,75.0,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
321,Popondetta,PG,74.64,overcast clouds,-8.7537,148.2534,Timos Transit House
322,Mount Isa,AU,73.4,moderate rain,-20.7333,139.5,ibis Styles Mt Isa Verona
323,Buala,SB,80.4,light rain,-8.145,159.5921,Maringe Lagoon Lodge
